,atlantic,year,indian,pacific
0,0.0,1982,0.0,0.0
1,0.0,1983,0.0,0.0
2,0.20018437642565637,1984,0.30969771715771727,0.38397183131586
3,0.2238780765478914,1985,0.24372946996547934,0.2991173513948912
4,0.2658099834970004,1986,0.2614697112312197,0.288241771131928
5,0.33057968103909113,1987,0.24065476097000538,0.17042717523960213
6,0.29603797700619033,1988,0.2589087488960881,0.1871699163952776
7,0.2864507510295153,1989,0.29958014790905274,0.286923990654056
8,0.25478559459727057,1990,0.22797902486686647,0.19180841447841418
9,0.20689218169196852,1991,0.1910356435990515,0.18328673886522012
10,0.2577653222334285,1992,0.2297822098240647,0.24092629780863473
11,0.29677551285417275,1993,0.2683574268984743,0.2689376397588035
12,0.23163209478641883,1994,0.24365548793289632,0.2618199152738968
13,0.19314304431460205,1995,0.2032820801709404,0.21499524221470367
14,0.20975839551878434,1996,0.22152059436025656,0.23350173309183989
15,0.17897862195014663,1997,0.20109642861462895,0.21861306499176725
16,0.1751257416550234,1998,0.20609559042071546,0.22593544663318724
17,0.19189512765980968,1999,0.2338445717057988,0.2696963285070925
18,0.18380512940459698,2000,0.20426615032065804,0.21025486040810407
19,0.18008139643802779,2001,0.19063199902117228,0.18346682587698762
20,0.1883256458235894,2002,0.19068339883274324,0.19254638661377643
21,0.19720281774995557,2003,0.2326548200481296,0.24470159158641466
22,0.215924529543275,2004,0.24578643386121735,0.25608650541370864
23,0.17521784355397788,2005,0.19316678655250447,0.1983176933027009
24,0.1808833905202577,2006,0.20481129522379465,0.22558390502289122
25,0.1799450659140641,2007,0.21281120455035626,0.24041997666888024
26,0.2036265282254945,2008,0.2503649602082875,0.28549433401218743
27,0.1734541784589863,2009,0.2103359006565311,0.25160070622231345
28,0.2130381219202891,2010,0.2699603071195808,0.3274668724763545
29,0.16947247479739716,2011,0.19635028504330646,0.22267648067549425
30,0.20404278501148243,2012,0.25239335045856903,0.299686437828968
